Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
11	NCT02570867	Functional Brain Changes of Primary Open-angle Glaucoma Patients	Recruiting	No Results Available	Glaucoma		Qing Zhou|First Affiliated Hospital of Jinan University 	Both	Adult		40	Other	Observational	Observational Model: Case Control|Time Perspective: Retrospective	FirstJinanU	October 6, 2015	June 2015	June 2017	October 7, 2015	October 2015	No Study Results Posted	null	December 2016	Changes of Brain Function|Correlation between brain gray changes and retinal nerve fiber layer thickness	https://ClinicalTrials.gov/show/NCT02570867
12	NCT01965106	Phase IIA Double-Masked Randomized Sham-Controlled Trial of QPI-1007 Delivered by a Single Intravitreal Injection to Subjects With Acute Primary Angle-Closure Glaucoma (APACG)	Completed	No Results Available	Glaucoma, Angle-closure, Primary, Acute	Drug: QPI-1007 Injection|Drug: (including placebo)	Quark Pharmaceuticals	Both	Adult|Senior	Phase 2	46	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	QRK208	September 11, 2013	December 2013	July 2015	October 14, 2015	October 2015	No Study Results Posted	null	June 2015	Safety and tolerability of a single intravitreal (IVT) dose of QPI-1007 as assessed by adverse events (AE)|Safety and tolerability of a single IVT dose of QPI-1007 as assessed by laboratory evaluations|Safety and tolerability of a single IVT dose of QPI-1007 as assessed by vital signs and weight|Safety and tolerability of a single IVT dose of QPI-1007 as assessed by ophthalmic evaluations, Best Corrected Visual Acuity (BCVA) using Early Treatment Diabetic Retinopathy Study (EDTRS) chart and slit lamp exams (anterior & posterior segment)|Safety and tolerability of a single IVT dose of QPI-1007 as assessed by ophthalmic evaluations, Visual Field (VF) and Spectral Domain Optical Coherence Tomography (SD-OCT)|Safety and tolerability of a single IVT dose of QPI-1007 as assessed by ophthalmic evaluation intraocular pressure (IOP)|Safety and tolerability of a single IVT dose of QPI-1007 as assessed by ophthalmic evaluation, Fundus Photographs (FP)|Safety and tolerability of a single IVT dose of QPI-1007 as assessed by ophthalmic evaluations optic nerve head stereo photographs and contrast sensitivity|Safety and tolerability of a single IVT dose of QPI-1007 as assessed by use of concomitant treatments|QPI-1007 pharmacokinetics (PK) parameters as assessed by the peak plasma concentration (Cmax)|QPI-1007 pharmacokinetics (PK) parameters as assessed by the time to peak plasma concentration (Tmax)|Difference between QPI-1007 and control group (sham) as assessed by the prevalence of the abnormal visual fields|Difference between QPI-1007 and control group (sham) as assessed by change in the mean deviation compared to baseline|Difference between QPI-1007 and control group (sham) as assessed by progression of the visual fields compared to baseline|Difference between QPI-1007 and control group (sham) as assessed by change in the mean BCVA using the EDTRS chart compared to baseline|Difference between QPI-1007 and control group (sham) as assessed by SD-OCT parameters|Difference between QPI-1007 and control group (sham) as assessed by change in the mean contrast sensitivity compared to baseline	https://ClinicalTrials.gov/show/NCT01965106
13	NCT01883856	Comparison of Silicone and Porous Plate Ahmed Glaucoma Valves	Recruiting	No Results Available	Glaucoma	Device: Silicone plate Ahmed Glaucoma Valve (Model FP7)|Device: Porous Plate Ahmed Glaucoma Valve (Model M4)	University of Virginia|New World Medical	Both	Adult|Senior	Phase 4	88	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	16051	June 18, 2013	February 2012	June 2015	December 15, 2014	December 2014	No Study Results Posted	null	January 2015	Change in Intraocular Pressure|Anti-Glaucoma Medications|Surgical Success	https://ClinicalTrials.gov/show/NCT01883856
14	NCT01857440	The Flashing Light-Induced Pupil Response (FLIPR) Glaucoma Study	Active, not recruiting	No Results Available	Glaucoma, Open-Angle|Eye Diseases		Ohio State University	Both	Adult|Senior		80	Other	Observational	Observational Model: Case Control|Time Perspective: Cross-Sectional	2013H0073|8KL2TR000112-05	May 13, 2013	May 2013	December 2014	October 21, 2014	October 2014	No Study Results Posted	FLIPR	December 2014	Pupil Response|Quality of Life Survey	https://ClinicalTrials.gov/show/NCT01857440
15	NCT02083289	A 28 Day Study of ONO-9054 Ophthalmic Solution in Subjects With Ocular Hypertension (OHT) or Open-angle Glaucoma (OAG)	Completed	No Results Available	Ocular Hypertension|Open Angle-glaucoma	Drug: ONO-9054|Drug: Latanoprost	Ono Pharmaceutical Co. Ltd	Both	Adult|Senior	Phase 2	123	Industry	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	ONO-9054IOU003	March 6, 2014	May 2014	null	December 19, 2014	August 2014	No Study Results Posted	null	December 2014	Mean change in diurnal IOP (average of four time points) from baseline|Evaluating the safety parameters per protocol|Diurnal IOP|Mean change from baseline in IOP at each measured time point|Treatment response rates|Percent change from baseline in IOP at each measured time point	https://ClinicalTrials.gov/show/NCT02083289
16	NCT02140060	6-Week Proof-of-Concept Study of Travoprost/Brinzolamide Ophthalmic Suspension in Subjects With Open-Angle Glaucoma or Ocular Hypertension	Completed	No Results Available	Glaucoma|Ocular Hypertension	Drug: Dose Level A / Brinzolamide 1% ophthalmic suspension|Drug: Dose Level B / Brinzolamide 1% ophthalmic suspension|Drug: Dose Level C / Brinzolamide 1% ophthalmic suspension|Drug: Brinzolamide 1% ophthalmic suspension AZOPT®|Drug: Travoprost 0.004% ophthalmic solution TRAVATAN Z®|Drug: Travoprost solution vehicle|Drug: Brinzolamide suspension vehicle	Alcon Research	Both	Adult|Senior	Phase 2	327	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	C-14-003	May 14, 2014	June 2014	November 2014	November 20, 2014	November 2014	No Study Results Posted	null	November 2014	Mean IOP at Week 6	https://ClinicalTrials.gov/show/NCT02140060
17	NCT02376114	Ginkgo Biloba and Ocular Blood Flow in Primary Open-angle Glaucoma	Completed	No Results Available	Glaucoma, Open-Angle	Drug: Ginkgo biloba|Drug: Placebo to Ginkgo biloba	Maisonneuve-Rosemont Hospital	Both	Adult|Senior	Phase 2	19	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Crossover Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Outcomes Assessor)	Ginkgo and blood flow	February 24, 2015	August 2011	February 2014	March 2, 2015	February 2015	No Study Results Posted	null	February 2014	Change in optic nerve head blood flow in the rim region as measured with the Heidelberg Retinal Flowmeter|Change in retinal blood flow as measured by the Canon Laser Blood Flowmeter|Change in ocular pulse amplitude as measured with the Pascal Dynamic Contour Tonometer|Change in peripheral vasospasm as measured during the cold provocation test using the Transonic Laser Doppler Flowmeter|Change in endothelin-1 levels as measured by an enzyme-linked immunosorbent assay kit	https://ClinicalTrials.gov/show/NCT02376114
18	NCT02226094	Safety and Efficacy of Deep Wave Trabeculoplasty (DWT) in Primary Open Angle Glaucoma and Ocular Hypertension	Terminated	No Results Available	Primary Open-angle Glaucoma (POAG)|Ocular Hypertension (OHT)	Device: DWT device dose A|Device: Ellex Tango SLT machine|Device: DWT device dose B|Device: DWT sham	OcuTherix, Inc.	Both	Adult|Senior	Phase 1|Phase 2	35	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	DWT CIP 002	August 20, 2014	November 2013	December 2015	November 14, 2014	November 2014	No Study Results Posted	null	June 2015	Percent decrease in IOP and change in dependence on IOP-lowering medications from baseline|Intra-procedural and post-procedural adverse events	https://ClinicalTrials.gov/show/NCT02226094
19	NCT02410148	aICP in Glaucoma and Papilledema	Recruiting	No Results Available	Open-angle Glaucoma|Papilledema	Device: Non-invasive ICP measurement (Vittamed 305)	Kantonsspital Aarau	Both	Adult|Senior		60	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Diagnostic|Masking: Open Label	aICP Ophtha	March 23, 2015	April 2015	March 2017	April 7, 2015	April 2015	No Study Results Posted	aICP Ophtha	July 2016	TPG (Translaminar Pressure Gradiant)|Arterial blood pressure|MD (Mean Deviation) in Visual Field|Average RNFL (retinal nerve fiber layer) thickness|BCVA (best corrected visual acuity)|Adverse Events	https://ClinicalTrials.gov/show/NCT02410148
20	NCT02388360	The Impact of Topical Prostaglandins on the Biomechanical Properties of the Cornea in Patients With Open Angle Glaucoma	Recruiting	No Results Available	Glaucoma, Open-Angle	Drug: topical prostaglandin analogs	Maisonneuve-Rosemont Hospital	Both	Adult|Senior	Phase 4	35	Other	Interventional	Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	MaisonneuveRH	December 20, 2014	May 2013	June 2015	March 9, 2015	February 2015	No Study Results Posted	null	June 2015	The Corneal Hysteresis (in mmHg) difference in patient with PGAs and without PGAs based on the integrated analysis of the data collected from the Reichert Ocular Response Analyzer (ORA)|The intraocular pressure (in mmHg) difference in patient with PGAs and without PGAs based on the integrated analysis of the data collected from Goldmann tonometry|The corneal thickness (in µm) difference in patient with PGAs and without PGAs based on the integrated analysis of the data collected from pachymetry|The Corneal Resistance Factor (in mmHg) difference in patient with PGAs and without PGAs based on the integrated analysis of the data collected from the Reichert Ocular Response Analyzer (ORA)	https://ClinicalTrials.gov/show/NCT02388360
21	NCT02565173	Study of Trabodenoson in Adults With Ocular Hypertension or Primary Open-angle Glaucoma	Recruiting	No Results Available	Primary Open-Angle Glaucoma (POAG)|Ocular Hypertension (OHT)	Drug: trabodenoson 4.5% BID|Drug: trabodenoson 6.0% QD|Drug: trabodenoson 3.0% QD|Drug: timolol 0.5% BID|Drug: placebo BID	Inotek Pharmaceuticals Corporation	Both	Adult|Senior	Phase 3	335	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	IPC-01-2015	September 28, 2015	September 2015	October 2016	October 1, 2015	October 2015	No Study Results Posted	null	October 2016	Mean Intraocular Pressure (IOP)	https://ClinicalTrials.gov/show/NCT02565173
22	NCT02053298	Impact of Timolol/Dorzolamide Therapy on Autoregulation in Glaucoma Patients	Recruiting	No Results Available	Open Angle Glaucoma	Drug: Timolol & Dorzolamide	Universitaire Ziekenhuizen Leuven	Both	Adult|Senior	Phase 4	30	Other	Interventional	Intervention Model: Single Group Assignment|Primary Purpose: Basic Science|Masking: Open Label	S - 54854	January 31, 2014	January 2014	May 2015	December 2, 2014	January 2014	No Study Results Posted	null	May 2015	Retrobulbar vascular resistance cutpoint change	https://ClinicalTrials.gov/show/NCT02053298
23	NCT01915940	VISION5 Product Compared to Topical Timolol Solution in Patients With Glaucoma or Ocular Hypertension	Completed	No Results Available	Primary Open-Angle Glaucoma|Ocular Hypertension	Drug: VISION5 Product|Drug: Timolol|Drug: Placebo drops	ForSight Vision5, Inc.	Both	Adult|Senior	Phase 2	169	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator)	FSV5-002	July 31, 2013	October 2013	December 2014	December 30, 2014	December 2014	No Study Results Posted	null	September 2014	Ocular Tonometry	https://ClinicalTrials.gov/show/NCT01915940
24	NCT02250612	SYL040012, Treatment for Open Angle Glaucoma	Recruiting	No Results Available	Open Angle Glaucoma|Ocular Hypertension	Drug: 1 drop of SYL040012 (bamosiran) Dose A|Drug: 1 drop of SYL040012 (bamosiran) Dose B|Drug: 1 drop of SYL040012 (bamosiran) Dose C|Drug: 1 drop of SYL040012 (bamosiran) Dose D|Drug: 1 drop of timolol maleate	Sylentis, S.A.	Both	Adult|Senior	Phase 2	180	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	SYL040012_IV|2013-002947-27	September 5, 2014	October 2014	September 2015	August 5, 2015	August 2015	No Study Results Posted	SYLTAG	August 2015	Change from baseline in the mean diurnal IOP within each treatment arm|Mean diurnal IOP change of the different doses of SYL040012 eye drops versus Timolol maleate 0.5%|Change from baseline in the Glaucoma Quality of Life questionnaire (GQL-15) scores within each treatment arm|Change from baseline in vital signs and laboratory parameters as measurements of systemic tolerability|Assessment of Adverse Events Appearance	https://ClinicalTrials.gov/show/NCT02250612
25	NCT02434692	Safety and Performance Study of the ARGOS-IO (Intraocular) System in Patients With Primary Open Angle Glaucoma (POAG)	Recruiting	No Results Available	Primary Open Angle Glaucoma (POAG)	Device: ARGOS-IO system	Implandata Ophthalmic Products GmbH	Both	Adult|Senior		22	Industry	Interventional	Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Open Label	ARGOS-02|CIV-13-11-011719	September 2, 2014	May 2014	December 2015	April 30, 2015	April 2015	No Study Results Posted	null	December 2015	Safety|Incidence of adverse events|Severity of adverse events|Performance	https://ClinicalTrials.gov/show/NCT02434692
26	NCT02121171	Combined Trab+Trab Versus Combined Trab+Trab With Subconjunctival Implantation of Ologen for Primary Congenital Glaucoma	Active, not recruiting	No Results Available	Congenital Glaucoma	Device: Ologen Collagen Matrix|Procedure: Combined trabeculotomy-trabeculectomy	National Centre of Ophthalmology named after academician Zarifa Aliyeva|Aeon Astron Europe B.V.	Both	Child	Phase 1	40	Other|Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	Trab+Trab+Ologen	April 19, 2014	September 2010	September 2015	July 18, 2015	July 2015	No Study Results Posted	null	September 2015	Intraocular pressure(IOP) reduction|Postoperative complications and appearances.	https://ClinicalTrials.gov/show/NCT02121171
27	NCT01917383	A Phase II Study to Evaluate the Additivity of Trabodenoson to Latanoprost in Adults With Ocular Hypertension or Primary Open-Angle Glaucoma	Completed	No Results Available	Primary Open-Angle Glaucoma (POAG)|Ocular Hypertension (OHT)	Drug: Trabodenoson|Drug: Latanoprost|Drug: Timolol	Inotek Pharmaceuticals Corporation	Both	Adult|Senior	Phase 2	101	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	IPC-01-2013	August 5, 2013	August 2013	September 2014	April 11, 2015	April 2015	No Study Results Posted	null	August 2014	Intraocular Pressure (IOP)	https://ClinicalTrials.gov/show/NCT01917383
28	NCT01912599	Pilot Study on Ambulatory Intraocular Pressure and Blood Pressure Monitoring in Glaucoma	Completed	No Results Available	Normal-Tension Glaucoma	Device: Sensimed Triggerfish|Device: Blood Pressure	University of North Carolina, Chapel Hill|Sensimed AG	Both	Adult|Senior		36	Other|Industry	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Diagnostic|Masking: Open Label	12-2514	July 26, 2013	July 2013	July 2014	September 9, 2014	September 2014	No Study Results Posted	null	July 2014	Blood Pressure Trends|Intraocular Pressure	https://ClinicalTrials.gov/show/NCT01912599
29	NCT01956942	Micropulse Laser Trabeculoplasty Versus Selective Laser Trabeculoplasty for Treatment of Open Angle Glaucoma	Recruiting	No Results Available	Open Angle Glaucoma	Device: Micropulse Laser Trabeculoplasty|Device: Selective Laser Trabeculoplasty	George Washington University	Both	Child|Adult|Senior	Phase 4	84	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	041310	September 30, 2013	August 2013	August 2015	November 6, 2013	September 2013	No Study Results Posted	MLT versus SLT	August 2014	Intraocular pressure reduction|incidence of intraocular inflammation	https://ClinicalTrials.gov/show/NCT01956942
30	NCT02260219	Comparative Study, Safety and Efficacy, Ahmed Glaucoma Drainage Device, Model M4 Model S2 in Neovascular Glaucoma	Active, not recruiting	No Results Available	Neovascular Glaucoma	Procedure: Surgical Implant of Ahmed Glaucoma Drainage Device, model M4 and S2	Asociación para Evitar la Ceguera en México	Both	Adult|Senior		42	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	GL-12-01	July 17, 2014	January 2012	null	October 6, 2014	September 2014	No Study Results Posted	null	February 2013	Number of participants with adverse effects|Intraocular pressure	https://ClinicalTrials.gov/show/NCT02260219
31	NCT01995136	Investigation of Intraocular Pressure (IOP) Reduction Efficacy of Travoprost Ophthalmic Solution in Patients With Normal Tension Glaucoma	Completed	Has Results	Normal Tension Glaucoma|Ocular Hypertension	Drug: Travoprost Ophthalmic Solution 0.004%	Alcon Research	Both	Adult|Senior	Phase 4	32	Industry	Interventional	Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	M-13-047|UMIN000011621	November 21, 2013	September 2013	June 2014	October 5, 2015	October 2015	June 25, 2015	null	June 2014	Mean Change From Baseline in IOP (9:00 AM) at Week 4, Week 8, and Week 12	https://ClinicalTrials.gov/show/NCT01995136
32	NCT02178085	Ocular Blood Flow Assessment in Glaucoma	Recruiting	No Results Available	Glaucoma	Other: Flow imaging	Centre Hospitalier Universitaire, Amiens	Both	Adult|Senior		62	Other	Interventional	Intervention Model: Single Group Assignment|Primary Purpose: Basic Science|Masking: Open Label	PI2014_843_0007|2014-A00847-40	June 18, 2014	September 2014	March 2017	September 4, 2015	September 2015	No Study Results Posted	OBAMAg	September 2016	Arterial blood flow|Vascular flow curves|Cerebrospinal fluid (CSF) dynamic|Treatment response	https://ClinicalTrials.gov/show/NCT02178085
33	NCT02129673	A Phase 1/2 Multicenter, Randomized, Study to Evaluate the Safety and Efficacy of VS101 Subconjunctival Latanoprost Insert in Subjects With Open-Angle Glaucoma or Ocular Hypertension	Recruiting	No Results Available	Open Angle Glaucoma|Ocular Hypertension	Drug: VS101 Insert Dose A|Drug: VS101 Insert Dose B|Drug: VS101 Insert Dose C|Drug: Latanoprost 0.005% eye drops	ViSci Ltd.	Both	Adult|Senior	Phase 1|Phase 2	70	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Investigator)	VS101-CS201	April 30, 2014	May 2014	June 2016	June 1, 2015	June 2015	No Study Results Posted	null	February 2016	Intra-ocular pressure	https://ClinicalTrials.gov/show/NCT02129673
34	NCT02271269	Study on Incentives for Glaucoma Medications Adherence	Recruiting	No Results Available	Glaucoma	Behavioral: Value Pricing Subsidies	Duke-NUS Graduate Medical School|Singapore National Eye Centre	Both	Adult|Senior		100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Health Services Research|Masking: Open Label	HSRNIG12nov007	October 19, 2014	November 2014	April 2016	February 10, 2015	February 2015	No Study Results Posted	SIGMA	November 2015	Monthly dose-rate adherence percentage|Dose-rate adherence percentage|Proportion meeting 90% dose-rate adherence percentage|Proportion meeting 75% dose-rate adherence percentage|Intraocular Pressure|EQ-5D-5L|Glaucoma Quality of Life (GQL-15)	https://ClinicalTrials.gov/show/NCT02271269
35	NCT02246777	Alcon Ex-PRESS™ Glaucoma Filtration Device in Japanese Patients	Recruiting	No Results Available	Glaucoma	Device: Ex-PRESS™ Glaucoma Filtration Device, Model P50PL	Alcon Research	Both	Adult|Senior		45	Industry	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	ALJ-P2013-1|UMIN000013243	September 18, 2014	April 2014	December 2016	October 5, 2015	October 2015	No Study Results Posted	null	December 2016	Mean intraocular pressure (IOP)|Percentage of patients with IOP lowering rate of 20% or more from baseline up to Month 12|Percentage of patients receiving drug therapy for glaucoma necessary to maintain the IOP|Percentage of patients receiving secondary surgical treatment (including laser therapy) necessary to maintain the IOP	https://ClinicalTrials.gov/show/NCT02246777
