Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
11	NCT02423668	Pseudophakic Anterior Chamber Depth Measurement in Second Eye Refinement Cataract Surgery	Completed	No Results Available	Cataract	Procedure: 50% Partial adjustment|Procedure: No adjustment|Procedure: Full adjustment	Centro Hospitalar do Baixo Vouga	Both	Adult|Senior		88	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	CHBaixoVouga3	April 19, 2015	January 2015	March 2015	April 21, 2015	April 2015	No Study Results Posted	null	March 2015	Second eye mean absolute error	https://ClinicalTrials.gov/show/NCT02423668
12	NCT02155270	Impact of a Corneal Pre-cut on Wound Architecture and Astigmatism in Cataract Surgery - a Pilot Study	Recruiting	No Results Available	Cataract	Procedure: Corneal precut 600µm|Procedure: Corneal stabincision	Prim. Prof. Dr. Oliver Findl, MBA|Vienna Institute for Research in Ocular Surgery	Both	Adult|Senior		20	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label	Precut	June 2, 2014	June 2014	March 2015	June 2, 2014	June 2014	No Study Results Posted	null	March 2015	Correlation between a wound architecture score and the post-operative astigmatism for the "pre-cut" group and the "stab-incision" group|Morphological changes over time	https://ClinicalTrials.gov/show/NCT02155270
13	NCT01769313	A Single Centre Study to Analyze Cataract Surgery Following Femtosecond Laser-Assisted and Manual Cataract Surgery	Completed	No Results Available	Cataract	Device: Laser-assisted cataract surgery|Device: Manually performed cataract surgery	Technolas Perfect Vision GmbH	Both	Adult|Senior	Phase 4	30	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Caregiver)	1202	January 14, 2013	January 2013	October 2014	October 30, 2014	October 2014	No Study Results Posted	null	October 2014	ΔROverlap is different between Group A and Group B|ΔELP is different between Group A and Group B|ΔFlare is different between Group A and Group B|SEQ Prediction Error is different between Group A and Group B	https://ClinicalTrials.gov/show/NCT01769313
14	NCT01847638	Prolensa (Bromfenac) 0.07% QD vs. Ilevro (Nepafenac) 0.3% QD for Treatment of Ocular Inflammation Post Cataract Surgery	Recruiting	No Results Available	Cataract|Retinal Edema|Inflammation	Drug: Prolensa (bromfenac 0.07%)|Drug: Ilevro (nepafenac 0.3%)	Melissa Toyos, MD|Bausch & Lomb Incorporated|Discover Vision Centers	Both	Adult|Senior		50	Other|Industry	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Investigator)	MMT-2013	April 16, 2013	April 2013	December 2015	June 10, 2015	June 2015	No Study Results Posted	QD	December 2015	Treatment of inflammation associated with cataract surgery|Visual Acuity	https://ClinicalTrials.gov/show/NCT01847638
15	NCT02096627	Comparison of Femtosecond Laser Assisted Cataract Surgery to Conventional Phacoemulsification Cataract Surgery	Not yet recruiting	No Results Available	Cataract		Johns Hopkins University	Both	Adult|Senior		720	Other	Observational	Observational Model: Case Control|Time Perspective: Prospective	NA_00089916	March 16, 2014	May 2014	August 2016	March 23, 2014	March 2014	No Study Results Posted	null	May 2016	endothelial cell density three months after conventional CEIOL or FLACS compared to baseline	https://ClinicalTrials.gov/show/NCT02096627
16	NCT02304861	Viscoat Versus Visthesia. A Comparative Study of Post-cataract Endothelial Cell Loss	Completed	No Results Available	Cataract	Procedure: Viscoat|Procedure: Visthesia	Democritus University of Thrace	Both	Adult|Senior		80	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Outcomes Assessor)	visco07012eit	November 11, 2014	January 2014	November 2014	December 1, 2014	November 2014	No Study Results Posted	null	June 2014	Endothelial Cell Count (ECD)|Endothelial Cell pattern (ECP)|Central corneal edema (CCE)	https://ClinicalTrials.gov/show/NCT02304861
17	NCT01763151	Comparison of Toric IOL Implantation and Opposite Clear Corneal Incision During Cataract Surgery to Correct Corneal Astigmatism	Completed	No Results Available	Cataract|Corneal Astigmatism	Device: toric IOL|Procedure: IOL combined with opposite clear corneal incision (OCCI)	Vienna Institute for Research in Ocular Surgery	Both	Adult|Senior	Phase 4	55	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	Viros_Askin	January 6, 2013	September 2010	December 2012	January 8, 2013	January 2013	No Study Results Posted	null	August 2012	Postoperative residual astigmatism|uncorrected distance visual acuity (UDVA)	https://ClinicalTrials.gov/show/NCT01763151
18	NCT02128113	RTA 408 Ophthalmic Suspension for the Prevention of Corneal Endothelial Cell Loss Following Cataract Surgery - GUARD	Completed	No Results Available	Corneal Endothelial Cell Loss|Ocular Pain|Ocular Inflammation|Cataract Surgery	Drug: Placebo|Drug: 0.5% RTA 408 Ophthalmic Suspension|Drug: 1% RTA 408 Ophthalmic Suspension	Reata Pharmaceuticals, Inc.|AbbVie	Both	Adult|Senior	Phase 2	304	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Investigator)	RTA 408-C-1309	April 28, 2014	May 2014	April 2015	June 23, 2015	June 2015	No Study Results Posted	null	February 2015	Count of corneal endothelial cells|Measure of inflammation|Measure of pain	https://ClinicalTrials.gov/show/NCT02128113
19	NCT02124603	Microbiological Evaluation of the Ocular Flora Before Cataract Surgery	Completed	Has Results	Disorders of the Eye Following Cataract Surgery		SIFI SpA	Both	Adult|Senior		120	Industry	Observational	Observational Model: Case-Only|Time Perspective: Cross-Sectional	041SI	April 23, 2014	April 2014	October 2014	August 27, 2015	August 2015	July 20, 2015	null	October 2014	Positive Culture in Subjects Scheduled for Cataract Surgery|Antibiotic Susceptibility|Eradication Rate	https://ClinicalTrials.gov/show/NCT02124603
20	NCT02253017	Evaluation of Therapeutic Strategies in Pediatric Cataract Surgery	Recruiting	No Results Available	Children Operated on for Cataract in Ophthalmology at Necker Hospital.	Other: Children operated on for cataract	Assistance Publique - Hôpitaux de Paris	Both	Child		60	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	2014-06-13	September 26, 2014	September 2014	null	July 27, 2015	July 2015	No Study Results Posted	EP3C	September 2022	Assessment practices in Pediatric Cataract Surgery.|Type of surgery and surgical procedures|Type of implant|Age at implantation|Distance visual acuity	https://ClinicalTrials.gov/show/NCT02253017
21	NCT02206594	Combined Cataract Surgery and Planned Descemetorhexis	Completed	No Results Available	Fuchs' Corneal Dystrophy|Cataract	Procedure: Descemetorhexis	Medical College of Wisconsin	Both	Adult|Senior		2	Other	Interventional	Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	MCW-EI-001	April 18, 2014	January 2014	null	August 20, 2015	July 2014	No Study Results Posted	null	August 2015	Corneal clarity as assessed by slit lamp photography|Resolution of edema as assessed by slit lamp photography	https://ClinicalTrials.gov/show/NCT02206594
22	NCT02182921	Evaluation of Cataract Surgery Outcome	Recruiting	No Results Available	Cataract|High Myopia		Evidence Based Cataract Study Group	Both	Child|Adult|Senior		20000	Other	Observational	Observational Model: Case Control|Time Perspective: Prospective	NSFC/YOUNG-81100653	June 24, 2014	August 2013	December 2020	February 10, 2015	February 2015	No Study Results Posted	null	December 2020	Change from baseline in visual acuity at one month after cataract surgery|Change from baseline in spherical equivalent at one month after cataract surgery|Change from baseline in visual acuity at six months after cataract surgery|Change from baseline in spherical equivalent at six months after cataract surgery|Change from baseline in wavefront aberration at one month after cataract surgery|Change from baseline in contrast sensitivity at one month after cataract surgery|Change from baseline in intraocular light scattering at one month after cataract surgery|Change from baseline in wavefront aberration at six months after cataract surgery|Change from baseline in contrast sensitivity at six months after cataract surgery|Change from baseline in intraocular light scattering at six months after cataract surgery	https://ClinicalTrials.gov/show/NCT02182921
23	NCT01800708	Cataract Surgery With Intracameral Triamcinolone in Infants	Completed	No Results Available	Cataract	Drug: Triamcinolone acetonide|Drug: Prednisolone syrup	Fundação Altino Ventura	Both	Child		60	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	1	February 25, 2013	January 2010	null	August 13, 2013	August 2013	No Study Results Posted	null	March 2013	Visual axis obscuration|Intraocular pressure	https://ClinicalTrials.gov/show/NCT01800708
24	NCT02351271	Cataract Surgery: Femto LDV Z8 Versus Conventional	Enrolling by invitation	No Results Available	Cataract	Device: Femto LDV Z8|Device: Manual capsulorhexis and lens fragmentation	Ziemer Ophthalmic Systems AG	Both	Adult|Senior		130	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	FL5940-0996	January 16, 2015	February 2015	September 2015	July 17, 2015	July 2015	No Study Results Posted	COMFORT	July 2015	Effective Phaco Time (EPT)|Ease of phacoemulsification (investigator perception - ease of phacoemulsification during surgery for eyes receiving Int A vs eyes receiving Int B p<0.05 considered positive for superior efficacy of application of Femto LDV Z8 over manual procedure)|Completeness of capsulotomy (based on a 4-level scale)	https://ClinicalTrials.gov/show/NCT02351271
25	NCT01774474	PRevention of Macular EDema After Cataract Surgery	Recruiting	No Results Available	Cystoid Macular Edema|Cataract|Diabetes Mellitus	Drug: Bromfenac|Drug: Dexamethasone|Drug: Bevacizumab|Drug: Triamcinolone Acetonide	Maastricht University Medical Center|European Society of Cataract and Refractive Surgeons	Both	Adult|Senior	Phase 3	1350	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject, Investigator)	NL42463.068.12	January 7, 2013	July 2013	October 2016	April 9, 2015	April 2015	No Study Results Posted	PREMED	October 2016	Change in central subfield mean macular thickness as a measurement of efficacy|No. of subjects developing clinically significant macular edema as a measurement of efficacy	https://ClinicalTrials.gov/show/NCT01774474
26	NCT02277314	Manual Small Incision Cataract Surgery Outcomes in an Educational Setting	Recruiting	No Results Available	Cataracts	Procedure: Manual Small Incision Cataract Surgery	University of Arizona	Both	Adult|Senior		100	Other	Interventional	Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	1404277367	October 24, 2014	April 2014	April 2015	October 24, 2014	October 2014	No Study Results Posted	MSICS	April 2015	Manual Small Incision Cataract Surgery with outcomes of 20/40 or better at the end of a year and with spectacle correction	https://ClinicalTrials.gov/show/NCT02277314
27	NCT01824927	Pain Expression in the Perioperative Period of Cataract Surgery	Recruiting	No Results Available	Cataract|Surgery|Eye Pain	Procedure: First eye (FE)|Procedure: Second eye (SE)|Drug: Steroids eye drops	Evidence Based Cataract Study Group	Both	Adult|Senior		150	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Bio-availability Study|Intervention Model: Parallel Assignment|Primary Purpose: Supportive Care|Masking: Single Blind (Subject)	EBCS001|NSFC81200669	April 2, 2013	January 2013	null	April 4, 2013	April 2013	No Study Results Posted	null	May 2013	Post operative pain level	https://ClinicalTrials.gov/show/NCT01824927
28	NCT02071147	RCT of Follow up Following Cataract Extraction	Recruiting	No Results Available	Cataract	Other: No Clinical Follow up|Other: Quality of Life questionnaire|Other: Patient satisfaction Questionnaire	South Devon Healthcare NHS Foundation Trust	Both	Adult|Senior		400	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Supportive Care|Masking: Single Blind (Caregiver)	14/02/050	February 21, 2014	February 2014	December 2015	May 18, 2015	May 2015	No Study Results Posted	null	December 2015	Corrected distance visual acuity (VA)|Vision-related quality of life impairment measures are the VCM1 and Catquest questionnaires|Post operative complication rate between the two groups|Post operative patient satisfaction between the two groups	https://ClinicalTrials.gov/show/NCT02071147
29	NCT02445274	Two Different Cataract Surgical Procedures to Prevent Posterior Capsule Opacification	Recruiting	No Results Available	Cataract|Posterior Capsule Opacification	Procedure: Anterior lens capsule was reserved	Sun Yat-sen University	Both	Adult|Senior		240	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject)	2015MEKY046	May 4, 2015	May 2015	August 2016	May 29, 2015	May 2015	No Study Results Posted	null	August 2016	Change from Baseline in posterior capsule opacification grading score|Change from Baseline in central posterior capsule thickness|Change from Baseline in central posterior capsule density	https://ClinicalTrials.gov/show/NCT02445274
30	NCT02492659	Clinical Research of Femtosecond Laser-Assisted Cataract Surgery	Completed	No Results Available	Cataracts	Procedure: femtosecond laser-assisted cataract surgery|Procedure: conventional phacoemulsification	Wenzhou Medical University	Both	Adult|Senior		54	Other	Interventional	Allocation: Randomized|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Single Blind (Investigator)	Femtosecond Laser	June 19, 2015	October 2013	June 2014	July 8, 2015	July 2015	No Study Results Posted	FLACS	March 2014	the proteins in the aqueous humor after femtosecond laser operation|the electrolyte in the aqueous humor after femtosecond laser operation|morphology of the anterior capsule after femtosecond laser operation	https://ClinicalTrials.gov/show/NCT02492659
31	NCT02023437	Long-term (3 Months) Safety of Femtosecond-laser Assisted Cataract Surgery	Completed	No Results Available	Cataract	Device: Femtosecond laser cataract surgery|Device: Manual cataract surgery	Technolas Perfect Vision GmbH	Both	Adult|Senior	Phase 4	132	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	1304_3M	December 6, 2013	December 2013	March 2014	May 22, 2014	May 2014	No Study Results Posted	null	March 2014	Adverse Events	https://ClinicalTrials.gov/show/NCT02023437
32	NCT01808547	Comparison Study of ISV-303 to Durasite Vehicle in Cataract Surgery Subjects	Completed	No Results Available	Cataract	Drug: ISV-303|Other: DuraSite Vehicle	InSite Vision	Both	Adult|Senior	Phase 3	268	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Basic Science|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	C-12-303-004	March 7, 2013	April 2013	November 2013	March 30, 2015	March 2015	No Study Results Posted	null	November 2013	Post-surgical ocular inflammation|Post -surgical ocular pain	https://ClinicalTrials.gov/show/NCT01808547
33	NCT01946581	Retrospective Patient Satisfaction Survey in Subjects With Tecnis Intra Ocular Lenses and Cataracts Surgery	Recruiting	No Results Available	Cataract	Procedure: Cataract Surgery	MDbackline, LLC	Both	Adult|Senior		200	Other	Observational	Time Perspective: Retrospective	JH SAT 2013	September 12, 2013	May 2013	null	September 16, 2013	September 2013	No Study Results Posted	null	May 2014	Patient overall satisfaction post Cataract surgery	https://ClinicalTrials.gov/show/NCT01946581
34	NCT01859910	Compression of the Lid Margin Increase Microbial Contamination Risk of Patients Undergoing Cataract Surgery	Completed	No Results Available	Cataract	Procedure: compression and scrub of lid margin|Procedure: routine preparation for cataract	Orbis|Sun Yat-sen University	Both	Adult|Senior		306	Other	Interventional	Allocation: Randomized|Endpoint Classification: Bio-equivalence Study|Intervention Model: Parallel Assignment|Primary Purpose: Health Services Research|Masking: Double Blind (Caregiver, Investigator, Outcomes Assessor)	Lid margin VS Cataract Surgery	May 20, 2013	October 2011	July 2012	May 20, 2013	May 2013	No Study Results Posted	null	April 2012	positive rate of culture|bacteria distribution of the culture	https://ClinicalTrials.gov/show/NCT01859910
35	NCT02328157	Combined 25-gauge Vitrectomy and Cataract Surgery With Toric Intraocular Lens With Idiopathic Epiretinal Membrane.	Recruiting	No Results Available	Cataract|Epiretinal Membrane|Corneal Astigmatism	Device: Vitrectomy with cataract surgery and toric IOL|Device: Vitrectomy with cataract surgery and common IOL	Kagawa University	Both	Child|Adult|Senior		30	Other	Interventional	Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	H26-061	December 13, 2014	January 2015	October 2018	September 1, 2015	September 2015	No Study Results Posted	null	October 2018	The degree of IOL axis rotation from the end of surgery	https://ClinicalTrials.gov/show/NCT02328157
36	NCT02101359	Efficacy and Safety Assessment of Intracameral Injection of T2380 in Cataract Surgery	Completed	Has Results	Cataract	Drug: T2380|Drug: Mydriatics|Drug: Tetracaine	Laboratoires Thea	Both	Adult|Senior	Phase 3	609	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	LT2380-PIII-05/10	September 4, 2013	June 2011	May 2013	November 4, 2014	November 2014	September 19, 2014	null	January 2013	The Primary Efficacy Variable is Response Based on the Realisation of the Capsulorhexis Without Use of Any Additive Mydriatic Treatment.	https://ClinicalTrials.gov/show/NCT02101359
37	NCT02150460	A Comparison of One-site and Two-site Peribulbar Anaesthesia for Cataract Surgery at Kaduna, Nigeria	Completed	Has Results	Anaesthesia|Cataract	Procedure: One-site peribulbar injection|Procedure: Two- site peribulbar injection	National Eye Centre, Kaduna	Both	Adult|Senior	Phase 4	100	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)	NECKAD/TRIALS/001/2012	May 26, 2014	October 2012	June 2013	March 15, 2015	May 2014	February 13, 2015	null	December 2012	Time Taken to Achieve Adequate Akinesia|Supplementary Injection(s)|Complications of Local Anaesthetic Injection|Pain Score for Local Anaesthetic Injection|Pain Score for Cataract Surgery|Volume of Anaesthetic Drug (ml)|Total Number of Injections|Surgeon Satisfaction Score for Local Anaesthetic Block|Acceptability of the Anaesthetic Block to the Subject|Duration of Cataract Surgery (Minutes)	https://ClinicalTrials.gov/show/NCT02150460
38	NCT02137161	Bromfenac to Reduce Inflammation in Patients With Pseudoexfoliation Syndrome After Cataract Surgery	Completed	No Results Available	Cataract|Pseudoexfoliation Syndrome	Drug: Dexamethasone+Tobramycin eye drop|Drug: Bromfenac eye drop	Arcispedale Santa Maria Nuova-IRCCS	Both	Adult|Senior	Phase 4	62	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	2013-002066-39	May 12, 2014	November 2013	October 2014	October 28, 2014	October 2014	No Study Results Posted	REPEX	October 2014	Change from baseline in anterior chamber inflammation measured by Laser Flare Photometry (photon counts per millisecond)|Proportion of patients with central macular thickness greater than 300 microns|Proportion of subjects with best corrected visual acuity equal to 20/20|Proportion of patients who had no ocular pain	https://ClinicalTrials.gov/show/NCT02137161
39	NCT02581046	Effect of the Timing of Cataract Surgery on Complications in Patients With Bilateral Congenital Cataracts	Completed	No Results Available	Cataract	Procedure: Phacomulsification lens removal cataract surgery without Intraocular lens(IOL) implantation at the age of 3month of the patients|Procedure: Phacomulsification lens removal cataract surgery without Intraocular lens(IOL) implantation at the age of 6 month of the patients|Drug: Subconjunctival dexamethasone and general anesthesia	Sun Yat-sen University|Ministry of Health, China	Both	Child		61	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor)	CCPMOH2010-China7	October 16, 2015	January 2011	December 2013	October 18, 2015	October 2015	No Study Results Posted	null	December 2013	Change from baseline in the central subfield thickness (CST) measured by Optical Coherence Tomography(OCT)|Change from baseline in the thickness of the inner retinal layer regions measured by Optical Coherence Tomography(OCT)|Change from baseline in the thickness of the outer retinal layer regions measured by Optical Coherence Tomography(OCT)|Number of participants with abnormal intraocular pressure or diagnosis with secondary glaucoma|Number of participants undergoing Nd:YAG laser capsulotomy due to severe posterior capsular opacification（PCO）	https://ClinicalTrials.gov/show/NCT02581046
