Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
11	NCT01965145	Efficacy of Gevokizumab in the Treatment of Patients With Behçet's Disease Uveitis (EYEGUARD™-B)	Terminated	No Results Available	Behcet's Uveitis	Drug: Gevokizumab|Drug: Placebo	Servier	Both	Adult|Senior	Phase 3	84	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	CL3-78989-002|2012-001125-27|U1111-1135-1411	September 17, 2013	November 2012	September 2015	October 5, 2015	October 2015	No Study Results Posted	EYEGUARD™-B	July 2015	Time to first acute ocular exacerbation	https://ClinicalTrials.gov/show/NCT01965145
12	NCT02375685	Long-term Safety of Gevokizumab in the Treatment of Patients With Chronic Non-infectious Uveitis (EYEGUARD-X)	Terminated	No Results Available	Chronic Uveitis	Biological: Gevokizumab	Servier	Both	Adult|Senior	Phase 3	71	Industry	Interventional	Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	CL3-78989-019|2013-004973-29	February 16, 2015	August 2014	October 2015	October 15, 2015	October 2015	No Study Results Posted	EYEGUARD-X	October 2015	Safety endpoints (adverse events, ...)	https://ClinicalTrials.gov/show/NCT02375685
13	NCT02026128	Optical Coherence Tomography (OCT) in Uveitis	Active, not recruiting	No Results Available	Uveitis		Oregon Health and Science University	Both	Adult|Senior		30	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	OHSU IRB#00008052	December 30, 2013	March 2012	December 2015	April 21, 2015	April 2015	No Study Results Posted	null	December 2015	Patients with active uveitis from any disease process	https://ClinicalTrials.gov/show/NCT02026128
14	NCT02311192	Grading Scale of Vitreous Haze in Patients With Uveitis Using Ultrasonography	Not yet recruiting	No Results Available	Uveitis	Device: Ultrasonography B-scan	University of Nebraska|Postgraduate Institute of Medical Education and Research|Luigi Sacco University Hospital	Both	Adult|Senior		170	Other	Interventional	Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Open Label	583-14	December 4, 2014	January 2015	January 2016	December 5, 2014	December 2014	No Study Results Posted	null	December 2015	Inter-observer correlation for VH grading will be assessed using number of eyes as the unit of measure as well as standardized grading scheme for VH	https://ClinicalTrials.gov/show/NCT02311192
15	NCT02517619	Safety and Efficacy of Iontophoretic Dexamethasone Phosphate Ophthalmic Solution in Non-Infectious Anterior Uveitis	Not yet recruiting	No Results Available	Anterior Uveitis	Drug: Dexamethasone Phosphate Ophthalmic Solution|Drug: Prednisolone Acetate Ophthalmic (1%)	Eyegate Pharmaceuticals, Inc.	Both	Child|Adult|Senior	Phase 3	250	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	EGP-437-006	August 5, 2015	November 2015	December 2016	August 5, 2015	August 2015	No Study Results Posted	EGP-437-006	December 2016	Proportion of subjects with an AC cell count of zero at Day 14	https://ClinicalTrials.gov/show/NCT02517619
16	NCT02494492	Treatment of the Bilateral Severe Uveitis by IVT of Regulator T-cells: Study of Tolerance of Dose	Recruiting	No Results Available	Uveitis	Other: intravitreous administration of regulator T-cells	Assistance Publique - Hôpitaux de Paris	Both	Adult|Senior	Phase 1|Phase 2	18	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	P081250	June 10, 2015	March 2013	December 2017	July 9, 2015	June 2015	No Study Results Posted	UVEREG	December 2017	Toxicity (occurrence of at least 2 ocular serious adverse events)|ETDRS scale	https://ClinicalTrials.gov/show/NCT02494492
17	NCT02482129	Proof of Concept Study to Evaluate Safety and Efficacy of LME636 in the Treatment of Acute Anterior Uveitis	Recruiting	No Results Available	Acute Anterior Uveitis	Drug: LME636 60 mg/mL ophthalmic solution|Drug: Dexamethasone 0.1% ophthalmic solution|Drug: LME636 Vehicle	Alcon Research	Both	Adult|Senior	Phase 2	40	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	LME636-2201	June 23, 2015	July 2015	February 2016	July 1, 2015	July 2015	No Study Results Posted	null	February 2016	Number of Subjects with Reduction from Baseline in AC cell grade of ≥2 at Day 15|Mean Best Corrected Visual Acuity (BCVA) at Each Visit|Mean Intraocular Pressure (IOP) at Each Visit|Number of Subjects with a 1 Grade or More Worsening Score from Baseline in Slit Lamp Parameters at Each Visit|Number of Subjects with a 1 Grade or More Worsening Score from Baseline in Dilated Fundus Parameters at Each Visit|Number of Subjects with IOP Elevation at Each Visit|Mean Change from Baseline in BCVA at Each Visit|Time-to-Response|Use of Rescue Treatment|Mean Serum Concentration of Total LME636 at Each Visit|Number of Subjects with Anti-LME636 Antibodies Present at Each Visit	https://ClinicalTrials.gov/show/NCT02482129
18	NCT02252328	Use of Simvastatin as a Steroid Sparing Agent for Uveitis Patients	Recruiting	No Results Available	Uveitis	Drug: Simvastatin|Drug: Placebo	University College, London	Both	Adult|Senior	Phase 2|Phase 3	50	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	14/0172|2014-003119-13	September 8, 2014	September 2015	August 2017	September 29, 2015	September 2015	No Study Results Posted	null	August 2016	1. Change in dose (mg) of prednisolone after 12 months of treatment|The mean reduction in prednisolone achieved at 24 months.|The chnage in the number of 2nd-line immunosuppressive drugs at 24 months|The number of disease relapses by 24 months|Blood cholesterol and lipid levels at 24 months as compared to baseline|Change in visual acuity at 12 and 24 months as compared to baseline|Treg and Th17 levels at 12 and 24 months as compared to baseline|Number of patients with adverse events.|The change in dose (mg) of 2nd-line immunosuppressive drugs at 24months	https://ClinicalTrials.gov/show/NCT02252328
19	NCT01791192	Study of FTY720 in Patients With Uveitis	Withdrawn	No Results Available	Acute Noninfectious Posterior, Intermediate, or Pan Uveitis	Drug: FTY720|Drug: Oral Corticosteroid	Novartis Pharmaceuticals|Novartis	Both	Adult	Phase 2	0	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor)	CFTY720D2205|2011-004160-30	February 12, 2013	November 2013	October 2014	April 15, 2014	April 2014	No Study Results Posted	null	October 2014	Change in Vitreous Haze Score in the Study Eye at Day 8|Change in Vitreous Haze Score in the Study Eye on Study Examination Days|Changes in Visual Acuity (Number of letters) in the Right and Left Eyes on Study Examination Days|Changes in Macular Thickness (Thickness at the Center of the Retina) in the Right and Left Eyes on Study Examination Days|Measures of the Safety and Tolerability of the Study Medication FTY720; Also Measures of Whether the Patients Required Rescue Medication for their Uveitis.|Levels of FTY720 and FTY720-P Blood Concentrations Measured in the Patients on Study Examination Days	https://ClinicalTrials.gov/show/NCT01791192
20	NCT02490254	Childhood Uveitis Initial Management and One-year Outcomes	Recruiting	No Results Available	Uveitis.	Other: Surveillance card	Moorfields Eye Hospital NHS Foundation Trust	Both	Child		500	Other	Observational	Time Perspective: Prospective	DALA1021	June 25, 2015	October 2014	March 2017	July 7, 2015	July 2015	No Study Results Posted	null	March 2017	The primary outcome measure will be the total number of reported cases of uveitis.	https://ClinicalTrials.gov/show/NCT02490254
21	NCT01829295	Methotrexate and Mycophenolate Mofetil for UVEITIS	Recruiting	No Results Available	Uveitis	Drug: Immunosuppressive therapy (oral methotrexate, oral mycophenolate mofetil)	University of California, San Francisco|Aravind Eye Hospitals, India|Oregon Health and Science University|Asociación para Evitar la Ceguera en México|Royal Victoria Eye and Ear Hospital|Northwestern University	Both	Child|Adult|Senior	Phase 3	216	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Crossover Assignment|Primary Purpose: Treatment|Masking: Double Blind (Investigator, Outcomes Assessor)	EY021125-01	April 8, 2013	August 2013	November 2016	October 17, 2014	October 2014	No Study Results Posted	FAST	April 2016	Treatment Success	https://ClinicalTrials.gov/show/NCT01829295
22	NCT01837056	Prevalence of Toxoplasma Gondii and Toxocara Canis Among Patients With Uveitis	Completed	No Results Available	Uveitis		National Institute of Health, Korea	Both	Child|Adult|Senior		98	Other	Observational	Observational Model: Case-Only|Time Perspective: Prospective	Nuneuveitis	April 12, 2013	January 2011	February 2012	April 17, 2013	April 2013	No Study Results Posted	null	February 2012	Number of patients with positive result for serum antibody to Toxoplasma gondii and Toxocara canis|Number of patients with positive PCR with peripheral blood and aqueous humor to Toxoplasma gondii and Toxocara canis	https://ClinicalTrials.gov/show/NCT01837056
23	NCT01900431	Phase II Study to Analyze Sarilumab in Non-Infectious Uveitis	Active, not recruiting	No Results Available	Uveitis	Drug: Sarilumab SAR153191/REGN88|Drug: Prednisone|Drug: Methotrexate|Drug: Folic/folinic acid|Other: Sarilumab (SAR153191/REGN88) placebo	Sanofi	Both	Adult|Senior	Phase 2	57	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator)	ACT13480|2012-004845-34|U1111-1130-6500	July 11, 2013	October 2013	April 2016	June 8, 2015	June 2015	No Study Results Posted	SARILNIUSATURN	July 2015	Percentage of patients with at least 2-step reduction in Vitreous Haze OR dose of prednisone < 10 mg/day|Mean change from baseline in VH|Percentage of patients with anterior chamber score = 0 or at least 2-step reduction in score (Tyndall and flare according to the SUN classification)|Mean change from baseline in BCVA (ETDRS letters score)|Mean change from baseline in central retinal thickness measured with Optical Coherence Tomography (OCT)|Percentage of patients with Central Retinal Thickness <300 microns|Percentage of patients without retinal vessel leakage on fluorescein angiography compared to baseline|Percentage of patients with dose of prednisone ≤ 5mg/day (or equivalent oral corticosteroid)|Pharmacokinetics assessment|Adverse events including Serious Adverse Events and Adverse Events of Special Interest|Assessment of clinical laboratory data	https://ClinicalTrials.gov/show/NCT01900431
24	NCT01897935	Flare Photometry in Uveitis Patients	Completed	No Results Available	Uveitis		ChromoLogic, LLC|UW Medicine Eye Institute	Both	Adult|Senior		100	Industry|Other	Observational	Observational Model: Case Control|Time Perspective: Cross-Sectional	OFAM_PRO_120417	July 8, 2013	June 2013	April 2014	April 30, 2014	April 2014	No Study Results Posted	null	April 2014	Establish OFAM algorithms for quantitation of ocular flare|Determine the impact that various potential confounders such as age and sex have on OFAM Measurements	https://ClinicalTrials.gov/show/NCT01897935
25	NCT02258854	An Open-label, Rollover Study Providing Continued Dosing of Gevokizumab in Order to Assess Long-term Gevokizumab Safety Data	Terminated	No Results Available	Uveitis	Drug: Dose 2 gevokizumab	XOMA (US) LLC	Both	Adult|Senior	Phase 3	69	Industry	Interventional	Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	X052132	October 2, 2014	March 2014	December 2017	October 14, 2015	October 2015	No Study Results Posted	EYEGUARD™-E	October 2017	Treatment-emergent Adverse Events	https://ClinicalTrials.gov/show/NCT02258854
26	NCT02251938	A Phase IIIb, Multinational, Multicenter, Open-Label Extension Study Assessing the Long-Term Safety of PRN Intravitreal Injections of DE-109 in Subjects With Non-Infectious Uveitis of the Posterior Segment of the Eye Who Have Participated in the SAKURA Development Program	Enrolling by invitation	No Results Available	Non-Infectious Uveitis of the Posterior Segment of the Eye	Drug: DE-109	Santen Inc.	Both	Adult|Senior	Phase 3	200	Industry	Interventional	Endpoint Classification: Safety Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	32-009	September 19, 2014	September 2014	November 2017	September 25, 2014	September 2014	No Study Results Posted	32-009	November 2017	Safety Parameters	https://ClinicalTrials.gov/show/NCT02251938
27	NCT01939691	Topical Treatment of Uveitic Macular Edema	Not yet recruiting	No Results Available	Uveitis|Cystoid Macular Edema	Drug: Difluprednate 0.05% ophthalmic emulsion|Drug: Nepafenac 0.1% ophthalmic solution|Drug: Prednisolone acetate 1% ophthalmic suspension	University of California, San Francisco	Both	Child|Adult|Senior	Phase 4	24	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Investigator)	CMEND	September 6, 2013	December 2015	March 2018	May 26, 2015	May 2015	No Study Results Posted	null	December 2017	Number of patients with improvement and/or resolution of macular edema|number of patients with resolution of macular edema|number of patients with improvement in macular edema defined as 20% or greater reduction in central subfield thickness by OCT but not resolution|number of patients with intraocular pressure increase greater than 10mmHg over baseline|Number of patients in each group with 2-line improvement in visual acuity|Change in macular central subfield thickness by OCT at 2 weeks	https://ClinicalTrials.gov/show/NCT01939691
28	NCT01978015	Blood-aqueous Barrier Changes After the Use of Timolol and Prostaglandin Analogues Fixed Combination in Pseudophakic Patients With POAG	Completed	No Results Available	Uveitis, Anterior|Cystoid Macular Edema	Drug: travoprost and timolol maleate fixed combination|Drug: latanoprost and maleate timolol fixed combination|Drug: bimatoprost and timolol maleate fixed combination|Drug: dextran and hypromellose	University of Campinas, Brazil	Both	Adult|Senior	Phase 4	69	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	CEP424/2010|CAAE0319014600010	October 25, 2013	October 2011	January 2013	October 31, 2013	October 2013	No Study Results Posted	null	July 2012	Change of mean flare values from baseline at 6 months|Change of mean macular thickness values from baseline at 6 months	https://ClinicalTrials.gov/show/NCT01978015
29	NCT01870440	TAHOE: Intravitreal Dexamethasone Implant (Ozurdex) for Uveitic Macular Edema	Completed	No Results Available	Macular Edema|Uveitis	Drug: Ozurdex Intravitreal Injection (0.7 mg)	Northern California Retina Vitreous Associates|Allergan	Both	Adult|Senior	Phase 4	10	Other|Industry	Interventional	Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	NCRVA-2013-Ozurdex-16.2	May 24, 2013	May 2013	February 2015	March 9, 2015	March 2015	No Study Results Posted	null	February 2015	Best Corrected Visual Acuity (using Early Treatment Diabetic Retinopathy Study Protocal)|Central Subfoveal Retinal Thickness|Best Corrected Visual Acuity	https://ClinicalTrials.gov/show/NCT01870440
30	NCT01859299	Intestinal Bacteria and Ocular Inflammatory Disease	Recruiting	No Results Available	Uveitis|Age-Related Macular Degeneration		National Eye Institute (NEI)|National Institutes of Health Clinical Center (CC)	Both	Adult|Senior		65	NIH	Observational	Time Perspective: Prospective	130072|13-EI-0072	May 17, 2013	January 2013	September 2016	October 3, 2015	July 2015	No Study Results Posted	null	September 2016	The primary outcome is principal component analysis using the unweighted UniFrac distance metric of microbial composition; the significance between groups will be tested by the Adonis method	https://ClinicalTrials.gov/show/NCT01859299
31	NCT02235272	Efficacy and Safety of XG-102 in Reduction of Post-cataract Surgery Intraocular Inflammation	Active, not recruiting	No Results Available	Inflammation|Pain|Cataract	Drug: XG-102|Drug: Placebo	Xigen SA	Both	Adult|Senior	Phase 3	300	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	SDD-1002-064	September 5, 2014	September 2014	July 2015	April 23, 2015	April 2015	No Study Results Posted	null	July 2015	Absence of anterior chamber cells for the 900µg XG-102 sub-conjunctival injection compared to vehicle|Absence of pain for the 900µg XG-102 compared to vehicle|Use of rescue medication	https://ClinicalTrials.gov/show/NCT02235272
32	NCT02508337	Efficacy and Safety of XG-102 in Reduction of Post-cataract Surgery Intraocular Inflammation and Pain	Recruiting	No Results Available	Inflammation|Pain|Cataract	Drug: XG-102|Drug: Placebo	Xigen SA	Both	Adult|Senior	Phase 3	300	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	SDD-1002-065	July 20, 2015	July 2015	January 2016	July 22, 2015	July 2015	No Study Results Posted	null	January 2016	Absence of anterior chamber cells|Pain scores as measured by the visual analog scale|Use of rescue medication|Number of patients with adverse events	https://ClinicalTrials.gov/show/NCT02508337
33	NCT02466217	Phenomics in Autoimmune and Inflammatory Diseases	Recruiting	No Results Available	Healthy Volunteer|Rheumatoid Arthritis|Ankylosing Spondylitis|Systemic Lupus Erythematosus/Antiphospholipid Syndrome|FMF|Cryopyrin-Associated Periodic Syndromes /TNF-receptor Associated Periodic Syndrome|Vasculitis|Uveitis|Myositis|Crohn's Disease|Ulcerative Rectocolitis|Type 1 Diabetes|Unclassified IAD Knee and/or Hip Arthritis, Muscular Dystrophy	Other: 1: AID groups|Other: 2: Control groups	Assistance Publique - Hôpitaux de Paris|National Research Agency, France	Both	Adult|Senior		1300	Other	Observational	Observational Model: Case Control|Time Perspective: Cross-Sectional	P141006|2015-A00558-41	May 12, 2015	July 2015	July 2020	September 4, 2015	September 2015	No Study Results Posted	TRANSIMMUNOM	July 2018	Total peripheral blood gene expression between patients, expressed as fluorescence intensity|Tregs and Tconvs T cell receptor repertoire, expressed as the % of unique TCR sequences|HLA type and SNPs expressed as the occurrence events across patients|Microbiote species identification expressed as the % of species per family and genus|Cytokines and chemokines expressed as fluorescence intensity|Immune cells phenotyping expressed as the each cell type % within total PBMCs|Changes in gene expression intensity between patients and healthy controls - for each Disease cohorts|Changes in Tregs and Tconvs TCR sequence frequencies between patients and healthy controls - for each Disease cohorts|Characterization of HLA and SNP profiles in patients and healthy controls - for each Disease cohorts|Changes in Microbiote composition between patients and healthy controls - for each Disease cohorts|Changes in cytokines and chemokines expression levels between patients and healthy controls - for each Disease cohorts|Changes in immune cells frequencies between patients and healthy controls - for each Disease cohorts|Identification of specific and common gene expression levels between patients - between Disease cohorts|Identification of specific and common Tregs and Tconvs TCR sequence frequencies between patients - between Disease cohorts|Characterization of specific and common HLA and SNP profiles in patients - between Disease cohorts|Identification of specific and common microbiote composition between patients - between Disease cohorts|Identification of specific and common cytokines and chemokines expression levels between patients - between Disease cohorts|Characterization specific and common variations in immune cells frequencies between patients - between Disease cohorts	https://ClinicalTrials.gov/show/NCT02466217
34	NCT02374060	PeriOcular and INTravitreal Corticosteroids for Uveitic Macular Edema Trial	Recruiting	No Results Available	Macular Edema|Uveitis	Drug: Periocular triamcinolone 40 mg|Drug: Intravitreal triamcinolone 4 mg|Drug: Dexamethasone intravitreal implant	JHSPH Center for Clinical Trials|National Eye Institute (NEI)	Both	Adult|Senior	Phase 4	267	Other|NIH	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	IRB00006139|1U10EY024527-01	February 18, 2015	March 2015	July 2018	October 2, 2015	October 2015	No Study Results Posted	POINT	July 2018	Percent change in central subfield thickness from the baseline OCT measurement	https://ClinicalTrials.gov/show/NCT02374060
35	NCT01905579	Correlation Between Aqueous Protein Level and Clinical Grading of Flare and Flaremetry.	Completed	No Results Available	Uveitis	Procedure: Paracentesis of the anterior chamber	The Eye Center and The Eye Foundation for Research in Ophthalmology	Both	Child|Adult|Senior		20	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Diagnostic|Masking: Open Label	TEC 123|TEC 2012-003	July 18, 2013	March 2013	August 2013	August 29, 2014	August 2014	No Study Results Posted	null	July 2013	compare flaremetry readings with the protein content of the aqueous humor	https://ClinicalTrials.gov/show/NCT01905579
