Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
11	NCT02078661	Safety and Efficacy of PG101 for Dry Eye Syndrome	Completed	No Results Available	Dry Eye Syndrome	Drug: PG101	Rhodes Pharmaceuticals, L.P.|ORA, Inc.	Both	Adult|Senior	Phase 1|Phase 2	72	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	RP-PG-EF001|13-110-0002	December 20, 2013	December 2013	January 2014	March 3, 2014	March 2014	No Study Results Posted	PG101	January 2014	At least one dry eye ocular symptom|At least one dry eye ocular sign measure.	https://ClinicalTrials.gov/show/NCT02078661
12	NCT01918410	Effect of Contact Lens With Alginic Acid in Dry Eye Patients	Completed	No Results Available	Dry Eyes	Device: Contact Lens with alginic acid|Device: Contact Lens without alginic acid	Louis Tong|Singapore Eye Research Institute|SEED Company Pte Ltd|Singapore National Eye Centre	Both	Adult|Senior		30	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single Blind (Subject)	SEED2013	August 6, 2013	February 2014	December 2014	May 18, 2015	June 2014	No Study Results Posted	null	December 2014	• Difference of Visual Analogue Scale (VAS) for the ocular discomfort between control and treatment group.|Tear lipid layer thickness measurements of LipiView|Schirmers I reading|Tear break up time (TBUT)|Corneal flourescein staining|Tear proteomic analysis	https://ClinicalTrials.gov/show/NCT01918410
13	NCT02193490	DNase Treatment for Dry Eyes	Recruiting	No Results Available	Dry Eye	Drug: DNase|Drug: Vehicle	University of Illinois at Chicago|Research to Prevent Blindness|Genentech, Inc.	Both	Adult|Senior	Phase 1|Phase 2	72	Other|Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	UIC-CNBL-1001	July 15, 2014	July 2014	December 2016	June 29, 2015	June 2015	No Study Results Posted	null	October 2016	Reduction in ocular surface staining as measured by Rose Bengal dye staining|The change in the Ocular Surface Disease Index score|Change in ocular surface redness score on slit-lamp examination|Change in tear secretion as measured by Schirmer I test|The proportion of eyes achieving complete ocular surface staining clearance after treatment|Visual acuity change|Change in number of corneal filaments (on slit-lamp examination)	https://ClinicalTrials.gov/show/NCT02193490
14	NCT01957670	Pilot Study to Clinical Evaluate Device Prototypes in Dry Eye Patients	Not yet recruiting	No Results Available	Dry Eye Syndrome	Device: Lacrima medical Prototypes	Lacrima Medical LTD	Both	Adult|Senior		100	Industry	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	LM001	September 30, 2013	February 2016	January 2018	September 1, 2015	September 2015	No Study Results Posted	null	December 2017	Lower Tear Meniscus Height using Optical Coherence Tomography|Visual Analog Scale score	https://ClinicalTrials.gov/show/NCT01957670
15	NCT01967147	Clinical Outcomes Following Treatment With Systane® Balance in Dry Eye Subjects	Completed	No Results Available	Dry Eye	Drug: Propylene Glycol, 0.6% eye drops|Drug: Preservative-free 0.9% Saline solution	Alcon Research	Both	Adult|Senior		278	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor)	M-13-027	October 18, 2013	February 2014	January 2015	January 16, 2015	January 2015	No Study Results Posted	null	January 2015	Change from baseline in tear film break-up time (TFBUT) at Day 35|Change from baseline in Total Ocular Surface Staining (TOSS) score at Day 35|Change from baseline in ocular surface disease index (OSDI) score at Day 35|Change from baseline in Impact of Dry Eye on Everyday Life (IDEEL) Treatment Effectiveness score at Day 35|Change from baseline in IDEEL Treatment Inconvenience score at Day 35	https://ClinicalTrials.gov/show/NCT01967147
16	NCT02365519	LME636 in the Relief of Persistent Ocular Discomfort in Patients With Severe Dry Eye Disease	Active, not recruiting	No Results Available	Dry Eye	Biological: LME636 ophthalmic solution|Biological: LME636 Vehicle	Alcon Research	Both	Adult|Senior	Phase 2	380	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	LME636-2202	February 13, 2015	March 2015	October 2015	August 11, 2015	August 2015	No Study Results Posted	null	October 2015	Mean change from baseline in global ocular discomfort score|Best corrected visual acuity (BCVA)|Intraocular pressure (IOP)|Slit lamp parameters|Dilated fundus parameters|Percentage of patients with improvement in global ocular discomfort score >20|Frequency of concentrations below the lower limit of quantification (LLOQ)|Frequency of subjects with anti-LME636 antibodies	https://ClinicalTrials.gov/show/NCT02365519
17	NCT02522312	A Retrospective Analysis of Restasis® Benefits in Dry Eye Contact Lens Patients	Not yet recruiting	No Results Available	Dry Eye Syndrome	Other: No Intervention	Hazleton Eye Specialists	Both	Adult|Senior		100	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	IIT-00864	July 29, 2015	August 2015	October 2015	August 10, 2015	August 2015	No Study Results Posted	null	October 2015	Improvement of Schirmer's Test score|Increased contact lens wear time	https://ClinicalTrials.gov/show/NCT02522312
18	NCT02376556	The Effect of Eyelid Surgery on Dry Eye - a Prospective Study	Not yet recruiting	No Results Available	Dry Eye Syndrome|Ptosis|Dermatochalasis		Sheba Medical Center	Both	Adult|Senior		60	Other	Observational	Observational Model: Case Control|Time Perspective: Prospective	SHEBA-14-1496-GBS-CTIL	February 25, 2015	March 2015	null	June 14, 2015	June 2015	No Study Results Posted	null	March 2017	dry eye syndrome	https://ClinicalTrials.gov/show/NCT02376556
19	NCT01843894	A Phase 1/2, RU-101 Ophthalmic Solution in Patients With Severe Dry Eye	Completed	No Results Available	Dry Eye	Biological: RU-101	R-Tech Ueno, Ltd.	Both	Adult|Senior	Phase 1|Phase 2	104	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	RU-101-C001	April 12, 2013	April 2013	July 2014	August 20, 2014	August 2014	No Study Results Posted	null	July 2014	Occular Adverse Events|Symptoms|Signs|Non-Occular Adverse Events	https://ClinicalTrials.gov/show/NCT01843894
20	NCT02403219	Paralysis of the Orbicularis Muscle of the Eye in the Treatment for Dry Eye	Completed	No Results Available	Dry Eye Syndromes	Drug: Botulinum toxin type A injection|Other: Saline solution injection	Instituto de Oftalmología Fundación Conde de Valenciana	Both	Adult|Senior	Phase 1	20	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Pharmacokinetics/Dynamics Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject)	CEI-2013-/06/06	January 21, 2015	May 2013	January 2015	March 30, 2015	March 2015	No Study Results Posted	null	February 2014	Symptoms of dry eye (questionnaire)|Symptoms of conjunctivitis (questionnaire)|Quality of vision (graded perception of patient)|Ocular comfort level (graded perception of patient)|Moisturizing agent usage (patient will be asked how many times a day does he use the moisturizing agent and will be graded from 0 to 5 according to the frequency)|Visual acuity (Snellen vision acuity)|Measurement of the tear film break up time (After fluorescein staining, the time required for dry spots to appear on the corneal surface after blinking)|Schirmer's test|Oxford grading scheme for corneal and conjunctival staining	https://ClinicalTrials.gov/show/NCT02403219
21	NCT01797822	Effects of Conventional Dry Eye Treatments on the Ocular Surface Response to Low Humidity Environment in Patients With Keratoconjunctivitis Sicca	Recruiting	No Results Available	Keratoconjunctivitis Sicca|Dry Eye Syndrome	Drug: dexamethasone, artificial tears	Baylor College of Medicine	Both	Adult|Senior		30	Other	Interventional	Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	H-31756	February 21, 2013	February 2013	null	July 20, 2015	July 2015	No Study Results Posted	null	December 2015	Changes in ocular surface measured by routine opthalmic dyes	https://ClinicalTrials.gov/show/NCT01797822
22	NCT02101281	Safety and Efficacy of rhNGF Eye Drops at Different Doses in Patients With Dry Eye	Completed	No Results Available	Dry Eye Syndrome.	Biological: Human nerve growth factor 20 µg/mL|Biological: Human nerve growth factor 4 µg/mL or 60 µg/mL	Dompé Farmaceutici S.p.A|Cross Research S.A.	Both	Adult|Senior	Phase 2	40	Industry	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	NGF0213|2013-004271-12	March 20, 2014	March 2014	January 2015	July 27, 2015	July 2015	No Study Results Posted	null	January 2015	Symptom Assessment in Dry Eye (SANDE)|Ocular surface vital staining|Schirmer test type I|Treatment-emergent adverse events (TEAEs),|Visual analogue scale (VAS)|Slit lamp examination|Schirmer test type II (with anaesthesia)|Tear Film Break-Up Time (TFBUT)|Corneal fluorescein staining|Corneal sensitivity (Cochet-Bonnet aesthesiometry)|Intraocular Pressure (IOP)|Ocular Surface Disease Index (OSDI)|Visual acuity|Fundus ophthalmoscopy|Tear Film osmolarity|Conjunctival impression cytology for goblet cells' count Tear Film osmolarity|Frequency of artificial tears use	https://ClinicalTrials.gov/show/NCT02101281
23	NCT02242032	Study of the Safety and Tolerability of P 321 Ophthalmic Solution in Subjects With Dry Eye Disease	Completed	No Results Available	Dry Eye Disease	Drug: P-321 Ophthalmic Solution|Drug: P-321 Ophthalmic Solution placebo	Parion Sciences	Both	Adult|Senior	Phase 1	53	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	P-321-101	August 28, 2014	July 2014	March 2015	May 1, 2015	May 2015	No Study Results Posted	null	March 2015	Number of subjects with adverse events|Changes from baseline in 14 days in visual acuity.|Change from baseline at 28 days in visual acuity for Cohort 4 only.|Changes from baseline at 14 days in corneal staining.|Changes from baseline at 28 days in corneal staining for cohort 4 only.|Changes from baseline at 14 days in conjunctival staining.|Changes from baseline at 28 days in conjunctival staining for Cohort 4 only.|Changes from baseline at 14 days in intraocular pressure.|Changes from baseline at 28 days in intraocular pressure. for Cohort 4 only.|Changes from baseline at 14 days in ophthalmoscopy.|Changes from baseline at 28 days in ophthalmoscopy for Cohort 4 only.|Measure plasma P-321 concentrations|Measure urine concentrations of P-321|Measure tear concentrations of P-321|Measure plasma P-321 concentrations in Cohort 4|Measure urine concentrations of P-321 in Cohort 4|Measure tear concentrations of P-321 in Cohort 4	https://ClinicalTrials.gov/show/NCT02242032
24	NCT01804361	Efficacy and Safety Study of Haporine-S for Treatment of Moderate to Severe Dry Eye Syndromes	Completed	No Results Available	Dry Eye Syndromes	Drug: Haporine-S|Drug: Restasis (cyclosporine 0.05%)	DH Bio Co., Ltd.|BTO Pharm. Co., Ltd.	Both	Adult|Senior	Phase 3	90	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Investigator, Outcomes Assessor)	UMT-2012-DH-HS-01|1360-8040-3073-4190	February 27, 2013	March 2013	February 2014	July 20, 2015	July 2015	No Study Results Posted	null	February 2014	Corneal staining|Ocular Surface Disease Index(OSID)|Tear Breakup Time(TBUT)|Schirmer score|Drug compliance|DEWS(Dry Eye WorkShop) level	https://ClinicalTrials.gov/show/NCT01804361
25	NCT02120079	The Utility of in Vivo Confocal Microscopy to Assess Cellular Response and Efficacy of Long-term Topical Steroid Treatment in Patients With Dry Eye Disease	Recruiting	No Results Available	Dry Eye Disease	Drug: Lotemax|Drug: Artificial Tears	Massachusetts Eye and Ear Infirmary|GlaxoSmithKline	Both	Adult|Senior	Phase 4	50	Other|Industry	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	13-150H	February 12, 2014	February 2014	null	December 7, 2014	April 2014	No Study Results Posted	null	July 2015	In Vivo Confocal Microscopy (IVCM): Superficial corneal epithelial cells: Density, size, and hypereflectivity|In Vivo Confocal Microscopy: Corneal subbasal immune dendritiform cells: Density, size, and cell field|In Vivo Confocal Microscopy: Corneal subbasal nerves: Number and length of the main nerves and the branches|Ocular Signs: Corneal epitheliopathy|Ocular Signs: Conjunctival epitheliopathy|Ocular Signs: Tear Break Up Time (TBUT)|Ocular Signs: Schirmer's Test with Anesthesia|Ocular Signs: Intraocular pressure (IOP) by measure of applanation tonometry|Ocular Symptoms: Ocular Surface Disease Index (OSDI) questionnaire|Ocular Symptoms: • Symptom Assessment iN Dry Eye (SANDE) questionnaire	https://ClinicalTrials.gov/show/NCT02120079
26	NCT02042820	Ocular Surface Immune Response in Dry Eye Disease: Analysis of Conjunctival and Peripheral Corneal Immune Cell Alterations by In Vivo Confocal Microscopy and Clinical Correlation	Recruiting	No Results Available	Dry Eye Disease	Other: In vivo confocal microscopy (IVCM)	Massachusetts Eye and Ear Infirmary	Both	Adult|Senior		75	Other	Observational	Observational Model: Case Control|Time Perspective: Prospective	13-149H	January 17, 2014	January 2014	null	December 24, 2014	December 2014	No Study Results Posted	null	January 2016	Peripheral Corneal Immune cell Status by IVCM|Bulbar conjunctival immune cell Status by IVCM|Clinical Parameter: Ocular Surface Disease Index (OSDI)|Clinical Parameter: Schirmer's II test|Clinical Parameter: Conjunctival staining with lissamine green|Clinical Parameter: Corneal staining with fluorescein|Clinical Parameter: Tear Break Up Time (TBUT)|Clinical Parameter: Conjunctival redness	https://ClinicalTrials.gov/show/NCT02042820
27	NCT02313454	Evaluation of the Safety and Effectiveness of the Oculeve Intranasal Lacrimal Neurostimulator in Patients With Dry Eye	Completed	No Results Available	Dry Eye Syndromes	Device: Oculeve Intranasal Lacrimal Neurostimulator	Oculeve, Inc.|ORA, Inc.	Both	Adult|Senior		19	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Crossover Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject)	OCUN-007	December 8, 2014	December 2014	April 2015	April 27, 2015	April 2015	No Study Results Posted	null	April 2015	Dry eye symptom assessment|Application preference	https://ClinicalTrials.gov/show/NCT02313454
28	NCT02510235	Tolerability, Safety and Efficacy of Lubricin Eye Drops Versus Sodium Hyaluronate Eye Drops in Subjects With Moderate Dry Eye	Completed	No Results Available	Dry Eye Syndrome|Tear Film Insufficiency	Device: Lubricin|Device: Sodium Hyaluronate	Dompé Farmaceutici S.p.A	Both	Adult|Senior		56	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	LUB0114MD	July 27, 2015	March 2015	June 2015	July 28, 2015	July 2015	No Study Results Posted	null	May 2015	SANDE|Ocular Total Tolerability Score|Oxford score|Tear Osmolarity|Schirmer-I Test|Tear Film Break Up Time|Best corrected distance visual|Corneal fluorescein surface staining (Oxford score)|IOP|TEAE	https://ClinicalTrials.gov/show/NCT02510235
29	NCT02507934	Tolerability, Safety and Efficacy of Lubricin (150 µg/ml) Eye Drops Versus Sodium Hyaluronate (HA) 0.18% Eye Drops in Patients With Moderate Dry Eye (DE)	Recruiting	No Results Available	Dry Eye Syndrome	Device: Lubricin|Device: Sodium Hyaluronate	Dompé Farmaceutici S.p.A	Both	Adult|Senior		40	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	LUB0115MD	July 23, 2015	June 2015	October 2015	July 23, 2015	June 2015	No Study Results Posted	null	September 2015	PTAE (pre-treatment adverse events)|Foreign body sensation (VAS for Local Ocular Tolerability)|Burning/Stinging (VAS for Local Ocular Tolerability)|Itching (VAS for Local Ocular Tolerability)|Pain (VAS for Local Ocular Tolerability)|Sticky feeling (VAS for Local Ocular Tolerability)|Blurred vision (VAS for Local Ocular Tolerability)|Photophobia (VAS for Local Ocular Tolerability)|TEAE (treatment-emergent adverse events)|Corneal fluorescein surface staining (Oxford score)|TFBUT (Tear Film Break Up Time)|SANDE (Symptom Assessment in Dry Eye)|Schirmer Test I (without anaesthesia)|Best corrected distance visual acuity (ETDRS Score)	https://ClinicalTrials.gov/show/NCT02507934
30	NCT02011776	A Randomized, Parallel-Group Comparison Study of Topical Corticosteroids in Dry Eye Patients With Sjögren Syndrome	Completed	No Results Available	Dry Eye Syndromes|Sjögren Syndrome		Santen Pharmaceutical(China) Co.,LTD	Both	Adult|Senior		35	Industry	Observational	Observational Model: Case Control|Time Perspective: Prospective	FML-001	December 10, 2013	March 2013	November 2013	July 7, 2014	July 2014	No Study Results Posted	null	August 2013	tear—film breakup time|Schirmer test I without anesthesia|corneal fluorescein staining	https://ClinicalTrials.gov/show/NCT02011776
31	NCT02229955	Study of Tisporin Eye Drops Group and Restasis Eye Drops Group After Treatment, Each Treatment Group Comparisons for Evaluation of Efficacy and Safety in Moderate to Severe Dry Eye Disease	Completed	No Results Available	Dry Eye Syndromes	Drug: Cyclosporine ophthalmic solution	Hanlim Pharm. Co., Ltd.	Both	Adult|Senior	Phase 3	86	Industry	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)	HL_TSPR_302	August 29, 2014	December 2013	July 2014	September 2, 2014	August 2014	No Study Results Posted	HL_TSPR_302	April 2014	Corneal staining test|Ocular surface disease index (OSDI)|Tear break up time (TBUT)|Non-anesthetic Schirmer test|Conjunctival staining	https://ClinicalTrials.gov/show/NCT02229955
32	NCT02147509	Evaluation of Therapeutic Effect of Bandage Contact Lenses ( BCL) on Dry Eye Caused by Sjogren's Syndrome	Completed	No Results Available	Sjögren's Syndrome Patients With Severe Dry Eye	Drug: 0.02% Fm, SH|Drug: 0.02% Fm, SH, 0.05% CsA|Other: 0.02% Fm, SH, tBCL|Drug: 0.02% Fm, SH, AS	Jinyang Li|Wenzhou Medical University	Both	Adult|Senior		64	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor)	BCL-018-SS	May 13, 2014	March 2013	April 2014	July 20, 2014	July 2014	No Study Results Posted	BCL	April 2014	C Corneal fluorescein staining|Visual acuity|Tear film breakup time|Schirmer I test|quality of the life|Symptom of the dryness	https://ClinicalTrials.gov/show/NCT02147509
33	NCT02420834	Dry Eye Treatment With Artificial Tears	Recruiting	No Results Available	Dry Eye	Other: Hypromellose 0.15%|Other: Hypromellose 0.4%|Other: Carboxymethylcellulose|Other: Liposomal Spray	Aston University	Both	Adult|Senior	Phase 4	50	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Crossover Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)	DOptomEssa	April 10, 2015	April 2015	August 2015	April 15, 2015	April 2015	No Study Results Posted	null	August 2015	Symptoms|Non-invasive break-up time|Tear meniscus height|lid parallel conjunctival folds|Ocular Surface Staining|Phenol Red Test	https://ClinicalTrials.gov/show/NCT02420834
34	NCT02128763	Dry Eye Assessment and Management Study	Recruiting	No Results Available	Dry Eye	Drug: Omega-3 supplements|Drug: Placebo	University of Pennsylvania|National Eye Institute (NEI)	Both	Adult|Senior	Phase 3	600	Other|NIH	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)	UPenn IRB Protocol 816490|U10EY022879|U10EY022881	April 28, 2014	November 2014	April 2017	October 8, 2015	October 2015	No Study Results Posted	DREAM	April 2016	Mean of change from baseline in OSDI score at 6 and 12 months (Primary Trial). Mean of change from 12 months in OSDI score at 18 and 24 months (Extension Study)|Compliance with the study treatment protocol as measured by changes in blood levels of fatty acids and pill counts|Greater than or equal to 10 point change in OSDI|Change in conjunctival staining score|Change in corneal fluorescein staining score|Change in tear film break up time|Change in Schirmer's test mm|Change in use of artificial tears and other treatments for dry eye disease|Change in SF-36 score|Change in the Brief Ocular Discomfort Index score|Change in healthcare utilization costs|Difference in cost effectiveness between groups on active and placebo supplements	https://ClinicalTrials.gov/show/NCT02128763
